lookback,hidden_size,num_layers,learning_rate,dropout,batch_size,epochs,train_rmse,test_rmse,test_mae,test_r2,training_time,trial_number
6,114,4,0.01032833974654988,0.2783331011414365,42,743,5.172075,4.7298336,2.881526470184326,0.8894477486610413,534.7978014945984,1
3,95,4,0.0012469285841461954,0.38879950890673,122,101,7.169181,7.2545614,5.1283955574035645,0.7395983934402466,563.4492135047913,2
7,326,3,0.0010280291766473731,0.10922497001656631,82,660,0.6683765,1.7298113,0.6378452181816101,0.9852237105369568,1027.2959949970245,3
1,499,2,0.001425402822646272,0.347354403733235,69,1477,5.0761156,5.602653,3.6310226917266846,0.8446168899536133,3706.4361674785614,4
4,444,4,0.0058261909741419825,0.10530598446394662,122,889,1.8109939,2.6659586,1.0486007928848267,0.9648423194885254,4465.653158664703,5
3,33,2,0.002567408868634198,0.3733054075301834,91,1266,2.4816134,3.3345897,2.036410331726074,0.9449818134307861,4782.755647659302,6
2,215,2,0.019201554025285252,0.2700623497964979,52,895,3.7520847,3.9397123,2.402933359146118,0.9231846332550049,5229.716221570969,7
1,435,3,0.004691896228409855,0.47066354631751783,102,557,6.2701855,6.333214,4.325583457946777,0.8014523983001709,5490.406769275665,8
4,279,5,0.027216838517143706,0.3989280440549524,84,921,14.281897,14.534675,11.934064865112305,-0.04501783847808838,13289.862581014633,9
7,321,2,0.003186836621925386,0.16610677562520101,34,693,0.7342818,1.5126649,0.5749510526657104,0.9887006282806396,13988.096910238266,10
7,25,1,0.049999999999999996,0.1,128,100,4.763174,5.5283127,3.739759683609009,0.8490778803825378,63845.64081645012,11
